13351,5,bESGLojNYSo,2,lady gaga,5,poker face,glue,314,I'm not lying I'm just stunning with my love __ gunnin',Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,149370,152890,3520,0,
13478,496,pB-5XG-DbAA,2411,sam smith,761,stay with me,true,40286,"Guess it's __, I'm not good at a one-night stand",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,39320,46500,7180,0,
13479,498,ebXbLfLACGM,2413,calvin harris,763,summer,blue,40407,As long as skies are __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,20430,25060,4630,0,
13480,498,ebXbLfLACGM,2413,calvin harris,763,summer,blue,40418,As long as skies are __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,95910,99850,3940,0,
13481,517,Qtb11P1FWnc,2434,Coldplay,784,magic,true,41729,"Call it magic, call it __",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,48200,57920,9720,0,
13482,517,Qtb11P1FWnc,2434,Coldplay,784,magic,true,41735,"No I don't, it's __",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,94140,95790,1650,0,
13483,517,Qtb11P1FWnc,2434,Coldplay,784,magic,true,41740,"No I don't, it's __",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,103980,106010,2030,0,
13484,517,Qtb11P1FWnc,2434,Coldplay,784,magic,true,41752,"No I don't, it's __",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,165720,167870,2150,0,
13485,517,Qtb11P1FWnc,2434,Coldplay,784,magic,true,41757,"No I don't, it's __",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,175980,177820,1840,0,
13486,517,Qtb11P1FWnc,2434,Coldplay,784,magic,true,41764,And I call it __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,206820,212030,5210,0,
13487,534,5WybiA263bw,2452,U2,804,sweetest thing,blue,43157,Baby's got __ skies up ahead,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,43660,47160,3500,0,
13488,534,5WybiA263bw,2452,U2,804,sweetest thing,blue,43185,Baby's got __ skies up ahead,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,152100,155700,3600,0,
13489,542,Qc9c12q3mrc,2445,Avicii,812,addicted to you,blue,43683,"Lost in your eyes, drowning in __",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,59900,64180,4280,0,
13490,542,Qc9c12q3mrc,2445,Avicii,812,addicted to you,blue,43695,"Lost in your eyes, drowning in __",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,113120,116800,3680,0,
13491,543,7-7knsP2n5w,2435,Shakira,813,dare (la la la),true,43710,Is it __ that you love me?,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,64810,68300,3490,0,
13492,543,7-7knsP2n5w,2435,Shakira,813,dare (la la la),true,43728,Is it __ that you love me?,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,117310,121410,4100,0,
13493,543,7-7knsP2n5w,2435,Shakira,813,dare (la la la),true,43738,Is it __ that you love me?,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,146230,151070,4840,0,
13494,578,PmJp6QWWV4g,2452,U2,2043,volcano,blue,106668,They used to be the clearest __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,74380,78160,3780,0,
13495,618,Zlot0i3Zykw,2448,Taylor Swift,2056,red,blue,107470,Losing him was __ like I'd never known,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,45740,49460,3720,0,
13496,618,Zlot0i3Zykw,2448,Taylor Swift,2056,red,blue,107481,Losing him was __ like I'd never known,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,107320,111050,3730,0,
13497,618,Zlot0i3Zykw,2448,Taylor Swift,2056,red,blue,107495,Losing him was __ like I'd never known,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,168580,172450,3870,0,
13498,631,25QyCxVkXwQ,2624,Elton John,2066,can you feel the love tonight,clue,108123,And they don't have a __ (who?),Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,2450,5170,2720,0,
